Full Name,Profile URL,Headline,Comment,Timestamp,Comment URN,Comment Hash,Post URN,Post Hash,post_urn_id,processed_comment,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Neha Chauhan,https://www.linkedin.com/in/neha-chauhan-ba308327,Sports Management Professional,"The Indian sports industry is still lagging behind, not due to a lack of investment in our elite athletes, but because of deficiencies in research and development, applied sports sciences, and the availability of top-notch, homegrown technical support staff. We remain overly reliant on Western coaches in most Olympic sports, which hinders the development of indigenous expertise.

At the grassroots level, the situation is even more concerning. The basic facilities necessary for nurturing future athletes are insufficient, and there has been a lack of comprehensive studies to address this. Rather than spreading resources thinly across all sports in every state, a more strategic approach is needed. We should focus on identifying which sports have the most potential in specific states and concentrate our resources there. This would involve targeted investment in states that naturally produce talent in particular sports, rather than wasting funds in regions where there is little interest or potential.",2024-08-09T03:21:33.858Z,"urn:li:comment:(ugcPost:7225731343790305280,7227514316839665664)",51c1f2fded653b0b9b419a9c7aa3c16f1e29dd35222bffba8142aeb7155919ab,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,the indian sports industry is still lagging behind not due to a lack of investment in our elite athletes but because of deficiencies in research and development applied sports sciences and the availability of topnotch homegrown technical support staff we remain overly reliant on western coaches in most olympic sports which hinders the development of indigenous expertise at the grassroots level the situation is even more concerning the basic facilities necessary for nurturing future athletes are insufficient and there has been a lack of comprehensive studies to address this rather than spreading resources thinly across all sports in every state a more strategic approach is needed we should focus on identifying which sports have the most potential in specific states and concentrate our resources there this would involve targeted investment in states that naturally produce talent in particular sports rather than wasting funds in regions where there is little interest or potential,0.031,0.832,0.138,0.9508,Positive
Kumail Rizvi,https://www.linkedin.com/in/kumail-rizvi-143733307,Creative Video Editor | Crafting Engaging & High-Quality Visual Stories for Brands & Creators,"Hi 
Your video is very good but it can be made even better with editing. This will increase your audience retention. And your page will grow quickly when the video is engaging. 

About me :-

My name is Kumail Rizvi and I am a very good editor. I have 2 years of experience and I have helped many creators grow with my editing. 

Please message me if you want to get editing done so that your video becomes more engaging.  

Here's my portfolio 
https://drive.google.com/drive/folders/12kPnC_VO18Ptc8We7ItN_G3_Hhlu89NO

Thank you Dilip Kumar",2024-08-06T10:29:05.022Z,"urn:li:comment:(ugcPost:7225731343790305280,7226534742022660100)",c457586d22eeafd39854210fbd73216014574e2454483330d6263ef5c73dc696,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,hi your video is very good but it can be made even better with editing this will increase your audience retention and your page will grow quickly when the video is engaging about me my name is kumail rizvi and i am a very good editor i have years of experience and i have helped many creators grow with my editing please message me if you want to get editing done so that your video becomes more engaging heres my portfolio thank you dilip kumar,0.0,0.727,0.273,0.9777,Positive
GURUNATH MAYEKAR,https://www.linkedin.com/in/gurunath-mayekar-b47a09287,"“GENERAL MANAGER & RND HEAD” at FORCE STRAIN SENSORS P. LTD. (3Decades+Multichannelised Industrial Techno-Commercial Engineering Projects Work Exp. Heads Company Branding & Corporate Industrial Marketing, Govt. Tenders)","Informative Essential insights for the future athletes & helpful for sports persons to get add the more aspiring champions to our nation to compete on state and international levels.

#Sports #athletes #goldmedalist #silvermedalist #bronzemedalist #indiansports #IndianCrickets #sportschampions #indianathletes #statesports  #internationalsports #sportscommitte #indiansportscommitte   

With Warm Regards,
GURUNATH MAYEKAR
",2024-08-06T08:04:59.640Z,"urn:li:comment:(ugcPost:7225731343790305280,7226498480662302720)",55d21990a93f2b62922dfbe657b7349205dede1a2258cee41f00b28e16a4091f,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,informative essential insights for the future athletes helpful for sports persons to get add the more aspiring champions to our nation to compete on state and international levels sports athletes goldmedalist silvermedalist bronzemedalist indiansports indiancrickets sportschampions indianathletes statesports internationalsports sportscommitte indiansportscommitte with warm regards gurunath mayekar,0.0,0.837,0.163,0.8115,Positive
Nagraj Prabhu Mudradi,https://www.linkedin.com/in/nagrajprabhu,SaaS product enthusiast | Enterprise Dental Solutions | Partner @ SVP India | ILSS - India Leaders for Social Sector | Takshashila Public Policy Alumni,Excellent dilip for posting this interview. Quite information and interesting set of information,2024-08-05T10:45:52.874Z,"urn:li:comment:(ugcPost:7225731343790305280,7226176581394739201)",b1b918c0e02f672a42ec238dc4a35aeb44cc295459299f84d43dc6bfb5bd0a48,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,excellent dilip for posting this interview quite information and interesting set of information,0.0,0.623,0.377,0.7693,Positive
Anirudh Jain (Ani),https://www.linkedin.com/in/anirudhjain09,.,"Best one yet, keep it going!",2024-08-05T06:27:03.981Z,"urn:li:comment:(ugcPost:7225731343790305280,7226111448500912128)",b699de275e4315eb4a5581199afcc2b585a095f2f07652a360a8007dbd692698,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,best one yet keep it going,0.0,0.543,0.457,0.6369,Positive
Amar Haksar,https://www.linkedin.com/in/amarhaksar,"Master Mindset & Performance Coach/Motivational Speaker/Fitness+Life+Executive Coach/Endurance Enthusiast. 1st Indian to cycle 5,700kms sole/unsupported across USA & 1,500+ consecutive day triathlon activity streak.","Great listen Dilip Kumar with a lot of good points made.

Personally, I believe, a (large) part of the problem lies in the cultural mindset when it comes to pushing limits.

The primary problem is very much still a question of priorities and choices when it comes to sports vs academics and this requires a major change in parent’ mindsets.

But, while the government and corporates can do a lot to improve infrastructure and standards, I don’t think it’s going to change if we simply depend on institutions to help solve the lack of success.

There is a tendency for people to make general excuses such as genetics, diet, weather, poverty, infrastructure etc etc for why we don’t have more success. 

For each one of the above, there is a country or athlete that will have proven otherwise. 

Having coached kids in a sport, I have seen plenty of “talent” gone to waste either from a change in priorities or from excuses mentioned above.

Happy to have a private chat Dilip Kumar about some of the issues, I believe, keep us from having more success in sports…and not just the Olympics.",2024-08-04T16:30:14.456Z,"urn:li:comment:(ugcPost:7225731343790305280,7225900854485147648)",f8891b21a0c60efa18c072da4d425e40fb0562a518c47f71cc586c6e5fda6288,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,great listen dilip kumar with a lot of good points made personally i believe a large part of the problem lies in the cultural mindset when it comes to pushing limits the primary problem is very much still a question of priorities and choices when it comes to sports vs academics and this requires a major change in parent mindsets but while the government and corporates can do a lot to improve infrastructure and standards i dont think its going to change if we simply depend on institutions to help solve the lack of success there is a tendency for people to make general excuses such as genetics diet weather poverty infrastructure etc etc for why we dont have more success for each one of the above there is a country or athlete that will have proven otherwise having coached kids in a sport i have seen plenty of talent gone to waste either from a change in priorities or from excuses mentioned above happy to have a private chat dilip kumar about some of the issues i believe keep us from having more success in sportsand not just the olympics,0.077,0.746,0.176,0.9758,Positive
Verinder Singh,https://www.linkedin.com/in/verinder-singh-4a74ba7,Values are something which drives me,Would watch ....,2024-08-04T16:08:03.370Z,"urn:li:comment:(ugcPost:7225731343790305280,7225895271509975040)",0c073143acfc3ed93670918f9fac6add36c65809fbc787228fbccb1215e40cda,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,would watch,0.0,1.0,0.0,0.0,Neutral
Ravneet Singh,https://www.linkedin.com/in/rsk-fcone,Builder | 2x Founder | Ex-Director of Technology @ Vedantu | CTO @ Zaggle | GSoC & Microsoft | CS @ IIIT-H,Crazy work Dilip Kumar !! This is some really deep work!! Kudos to you and team Rainmatter by Zerodha,2024-08-04T15:56:20.127Z,"urn:li:comment:(ugcPost:7225731343790305280,7225892321895051265)",ad8079d234b018ff056bd48ed1a85bf59d7ef5d88244e9c3adbc317733e65379,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,crazy work dilip kumar this is some really deep work kudos to you and team rainmatter by zerodha,0.109,0.728,0.162,0.2878,Positive
Sourabh Goyal 📿,https://www.linkedin.com/in/consultsourabh,Founder | @Successbrew we work with Brands/Experts to create CONTENT to CASH journeys | Community Builder | Podcast Host | Hiring Creative Content Creators,Sajith Kumar,2024-08-04T09:30:58.724Z,"urn:li:comment:(ugcPost:7225731343790305280,7225795343697797122)",4d4121ccb4590f42fc5a6c2068bcf9b694a31304983daf870e888b519dfe2dc0,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,sajith kumar,0.0,1.0,0.0,0.0,Neutral
Sandeep Das,https://www.linkedin.com/in/sandeep-das-773564200,Manager Operations | Transcom India,Insightful!,2024-08-04T09:05:53.009Z,"urn:li:comment:(ugcPost:7225731343790305280,7225789028271312897)",4c25978eb1fded23d8895420ee7ec4f9bfbe309f669e5554b15abba40b4dbd50,urn:li:ugcPost:7225731343790305280,f378613b82bf33e37c74e0e6831d29192e6a992263378d4f5fe498e77ef488f0,7225731343790305280,insightful,0.0,1.0,0.0,0.0,Neutral
